ticker,event_time,available_time,tradable,open,high,low,close,volume
AAA,2024-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z,true,100.00000000,101.00000000,99.00000000,100.00000000,10000000
BBB,2024-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z,true,100.00000000,101.00000000,99.00000000,100.00000000,10000000
CCC,2024-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z,true,100.00000000,101.00000000,99.00000000,100.00000000,10000000
DDD,2024-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z,true,100.00000000,101.00000000,99.00000000,100.00000000,10000000
AAA,2024-01-02T00:00:00.000Z,2024-01-02T00:00:00.000Z,true,101.20000000,102.21200000,100.18800000,101.20000000,10000000
BBB,2024-01-02T00:00:00.000Z,2024-01-02T00:00:00.000Z,true,99.70000000,100.69700000,98.70300000,99.70000000,10000000
CCC,2024-01-02T00:00:00.000Z,2024-01-02T00:00:00.000Z,true,100.20000000,101.20200000,99.19800000,100.20000000,10000000
DDD,2024-01-02T00:00:00.000Z,2024-01-02T00:00:00.000Z,true,100.10000000,101.10100000,99.09900000,100.10000000,10000000
AAA,2024-01-03T00:00:00.000Z,2024-01-03T00:00:00.000Z,true,102.41440000,103.43854400,101.39025600,102.41440000,10000000
BBB,2024-01-03T00:00:00.000Z,2024-01-03T00:00:00.000Z,true,99.40090000,100.39490900,98.40689100,99.40090000,10000000
CCC,2024-01-03T00:00:00.000Z,2024-01-03T00:00:00.000Z,true,100.40040000,101.40440400,99.39639600,100.40040000,10000000
DDD,2024-01-03T00:00:00.000Z,2024-01-03T00:00:00.000Z,true,100.20010000,101.20210100,99.19809900,100.20010000,10000000
AAA,2024-01-04T00:00:00.000Z,2024-01-04T00:00:00.000Z,true,103.64337280,104.67980653,102.60693907,103.64337280,10000000
BBB,2024-01-04T00:00:00.000Z,2024-01-04T00:00:00.000Z,true,99.10269730,100.09372427,98.11167033,99.10269730,10000000
CCC,2024-01-04T00:00:00.000Z,2024-01-04T00:00:00.000Z,true,100.60120080,101.60721281,99.59518879,100.60120080,10000000
DDD,2024-01-04T00:00:00.000Z,2024-01-04T00:00:00.000Z,true,100.30030010,101.30330310,99.29729710,100.30030010,10000000
AAA,2024-01-05T00:00:00.000Z,2024-01-05T00:00:00.000Z,true,104.88709327,105.93596421,103.83822234,104.88709327,10000000
BBB,2024-01-05T00:00:00.000Z,2024-01-05T00:00:00.000Z,true,98.80538921,99.79344310,97.81733532,98.80538921,10000000
CCC,2024-01-05T00:00:00.000Z,2024-01-05T00:00:00.000Z,true,100.80240320,101.81042723,99.79437917,100.80240320,10000000
DDD,2024-01-05T00:00:00.000Z,2024-01-05T00:00:00.000Z,true,100.40060040,101.40460640,99.39659440,100.40060040,10000000
AAA,2024-01-06T00:00:00.000Z,2024-01-06T00:00:00.000Z,true,106.14573839,107.20719578,105.08428101,106.14573839,10000000
BBB,2024-01-06T00:00:00.000Z,2024-01-06T00:00:00.000Z,true,98.50897304,99.49406277,97.52388331,98.50897304,10000000
CCC,2024-01-06T00:00:00.000Z,2024-01-06T00:00:00.000Z,true,101.00400801,102.01404809,99.99396793,101.00400801,10000000
DDD,2024-01-06T00:00:00.000Z,2024-01-06T00:00:00.000Z,true,100.50100100,101.50601101,99.49599099,100.50100100,10000000
AAA,2024-01-07T00:00:00.000Z,2024-01-07T00:00:00.000Z,true,107.41948725,108.49368213,106.34529238,107.41948725,10000000
BBB,2024-01-07T00:00:00.000Z,2024-01-07T00:00:00.000Z,true,98.21344612,99.19558058,97.23131166,98.21344612,10000000
CCC,2024-01-07T00:00:00.000Z,2024-01-07T00:00:00.000Z,true,101.20601602,102.21807618,100.19395586,101.20601602,10000000
DDD,2024-01-07T00:00:00.000Z,2024-01-07T00:00:00.000Z,true,100.60150200,101.60751702,99.59548698,100.60150200,10000000
AAA,2024-01-08T00:00:00.000Z,2024-01-08T00:00:00.000Z,true,108.70852110,109.79560631,107.62143589,108.70852110,10000000
BBB,2024-01-08T00:00:00.000Z,2024-01-08T00:00:00.000Z,true,97.91880578,98.89799384,96.93961773,97.91880578,10000000
CCC,2024-01-08T00:00:00.000Z,2024-01-08T00:00:00.000Z,true,101.40842806,102.42251234,100.39434378,101.40842806,10000000
DDD,2024-01-08T00:00:00.000Z,2024-01-08T00:00:00.000Z,true,100.70210350,101.70912454,99.69508247,100.70210350,10000000
AAA,2024-01-09T00:00:00.000Z,2024-01-09T00:00:00.000Z,true,110.01302335,111.11315359,108.91289312,110.01302335,10000000
BBB,2024-01-09T00:00:00.000Z,2024-01-09T00:00:00.000Z,true,97.62504937,98.60129986,96.64879887,97.62504937,10000000
CCC,2024-01-09T00:00:00.000Z,2024-01-09T00:00:00.000Z,true,101.61124491,102.62735736,100.59513246,101.61124491,10000000
DDD,2024-01-09T00:00:00.000Z,2024-01-09T00:00:00.000Z,true,100.80280561,101.81083366,99.79477755,100.80280561,10000000
AAA,2024-01-10T00:00:00.000Z,2024-01-10T00:00:00.000Z,true,111.33317963,112.44651143,110.21984784,111.33317963,10000000
BBB,2024-01-10T00:00:00.000Z,2024-01-10T00:00:00.000Z,true,97.33217422,98.30549596,96.35885248,97.33217422,10000000
CCC,2024-01-10T00:00:00.000Z,2024-01-10T00:00:00.000Z,true,101.81446740,102.83261208,100.79632273,101.81446740,10000000
DDD,2024-01-10T00:00:00.000Z,2024-01-10T00:00:00.000Z,true,100.90360841,101.91264450,99.89457233,100.90360841,10000000
AAA,2024-01-11T00:00:00.000Z,2024-01-11T00:00:00.000Z,true,112.66917779,113.79586957,111.54248601,112.66917779,10000000
BBB,2024-01-11T00:00:00.000Z,2024-01-11T00:00:00.000Z,true,97.04017769,98.01057947,96.06977592,97.04017769,10000000
